library	sample	provenance
L131030	S142223	unknown	
L131031	S142224	unknown	
L131032	S142225	unknown	
L131033	S142226	unknown	
L131034	S142227	unknown	
L131035	S142228	unknown	
L131036	S142229	unknown	
L131037	S142230	unknown	
L131038	S142231	unknown	
L131039	S142232	unknown	
L131040	S142233	unknown	
L131041	S142234	unknown	
L131042	S142235	unknown	
L131043	S142236	unknown	
L131044	S142237	unknown	
L131045	S142238	unknown	
L131046	S142239	unknown	
L131047	S142240	unknown	
L131048	S142241	unknown	
L131049	S142242	unknown	
L131050	S142243	unknown	
L131051	S142244	unknown	
L131052	S142245	unknown	
L131053	S142246	unknown	
L131054	S142247	unknown	
L131055	S142248	unknown	
L131056	S142249	Jelenia Góra
L131057	S142250	Jelenia Góra
L131058	S142251	Jelenia Góra
L131059	S142252	Jelenia Góra
L131060	S142253	Wierzchlas
L131061	S142254	Wierzchlas
L131062	S142255	Wierzchlas
L131063	S142256	Wierzchlas
L131064	S142257	unknown	
L131065	S142258	unknown	
L131066	S142259	unknown	
L131067	S142260	unknown	
L131068	S142261	unknown	
L131069	S142262	unknown	
L131070	S142263	unknown	
L131071	S142264	unknown	
L131072	S142265	unknown	
L131073	S142266	unknown	
L131074	S142267	unknown	
L149236	S162512	Jelenia Góra
L149237	S162513	Jelenia Góra
L149238	S162514	Wierzchlas
L149239	S162515	Wierzchlas
L149240	S162516	unknown	
L149241	S162517	unknown	
L149242	S162518	unknown	
L149243	S162519	unknown	
L149244	S162520	Eddigehausen	
L149245	S162521	Eddigehausen	
L149246	S162522	Eddigehausen	
L149247	S162523	Eddigehausen	
L149248	S162524	Eddigehausen	
L149249	S162525	Eddigehausen	
L149250	S162526	Eddigehausen	
L149251	S162527	Eddigehausen	
L149252	S162528	Eddigehausen	
L149253	S162529	Eddigehausen	
L149254	S162530	Lengenberg	
L149255	S162531	Lengenberg	
L149256	S162532	Lengenberg	
L149257	S162533	Lengenberg	
L149258	S162534	Lengenberg	
L149259	S162535	Lengenberg	
L149260	S162536	Lengenberg	
L149261	S162537	Lengenberg	
L149262	S162538	Lengenberg	
L149263	S162539	Lengenberg	
L149264	S162540	Paterzell	
L149265	S162541	Paterzell	
L149266	S162542	Paterzell	
L149267	S162543	Paterzell	
L149268	S162544	Paterzell	
L149269	S162545	Paterzell	
L149270	S162546	Paterzell	
L149271	S162547	Paterzell	
L149272	S162548	Paterzell	
L149273	S162549	Paterzell	
L149274	S162550	Gößweinstein	
L149275	S162551	Gößweinstein	
L149276	S162552	Gößweinstein	
L149277	S162553	Gößweinstein	
L149278	S162554	Gößweinstein	
L149279	S162555	Gößweinstein	
L149280	S162556	Gößweinstein	
L149281	S162557	Gößweinstein	
L149282	S162558	Gößweinstein	
L149283	S162559	Gößweinstein	
L149284	S162560	Dermbach	
L149285	S162561	Dermbach	
L149286	S162562	Dermbach	
L149287	S162563	Dermbach	
L149288	S162564	Dermbach	
L149289	S162565	Dermbach	
L149290	S162566	Dermbach	
L149291	S162567	Dermbach	
L149292	S162568	Dermbach	
L149293	S162569	Dermbach	

