FID     IID     sex     pheno   sample_name     str_sex
S142223 S142223 1 1 L131030_MKDUP.bam male
S142224 S142224 2 2 L131031_MKDUP.bam female
S142225 S142225 1 1 L131032_MKDUP.bam male
S142226 S142226 2 2 L131033_MKDUP.bam female
S142227 S142227 2 2 L131034_MKDUP.bam female
S142228 S142228 1 1 L131035_MKDUP.bam male
S142229 S142229 2 2 L131036_MKDUP.bam female
S142230 S142230 1 1 L131037_MKDUP.bam male
S142231 S142231 1 1 L131038_MKDUP.bam male
S142232 S142232 1 1 L131039_MKDUP.bam male
S142234 S142234 1 1 L131041_MKDUP.bam male
S142235 S142235 2 2 L131042_MKDUP.bam female
S142236 S142236 2 2 L131043_MKDUP.bam female
S142237 S142237 1 1 L131044_MKDUP.bam male
S142238 S142238 1 1 L131045_MKDUP.bam male
S142239 S142239 2 2 L131046_MKDUP.bam female
S142240 S142240 2 2 L131047_MKDUP.bam female
S142241 S142241 1 1 L131048_MKDUP.bam male
S142243 S142243 1 1 L131050_MKDUP.bam male
S142244 S142244 2 2 L131051_MKDUP.bam female
S142245 S142245 2 2 L131052_MKDUP.bam female
S142246 S142246 1 1 L131053_MKDUP.bam male
S142247 S142247 2 2 L131054_MKDUP.bam female
S142248 S142248 1 1 L131055_MKDUP.bam male
S142249 S142249 1 1 L131056_MKDUP.bam male
S142250 S142250 1 1 L131057_MKDUP.bam male
S142251 S142251 2 2 L131058_MKDUP.bam female
S142252 S142252 2 2 L131059_MKDUP.bam female
S142253 S142253 1 1 L131060_MKDUP.bam male
S142254 S142254 1 1 L131061_MKDUP.bam male
S142255 S142255 2 2 L131062_MKDUP.bam female
S142256 S142256 2 2 L131063_MKDUP.bam female
S142257 S142257 1 1 L131064_MKDUP.bam male
S142258 S142258 2 2 L131065_MKDUP.bam female
S142259 S142259 2 2 L131066_MKDUP.bam female
S142261 S142261 1 1 L131068_MKDUP.bam male
S142262 S142262 1 1 L131069_MKDUP.bam male
S142263 S142263 2 2 L131070_MKDUP.bam female
S142264 S142264 2 2 L131071_MKDUP.bam female
S142265 S142265 1 1 L131072_MKDUP.bam male
S142266 S142266 2 2 L131073_MKDUP.bam female
S142267 S142267 1 1 L131074_MKDUP.bam male
S162512 S162512 1 1 L149236_MKDUP.bam male
S162513 S162513 2 2 L149237_MKDUP.bam female
S162514 S162514 1 1 L149238_MKDUP.bam male
S162515 S162515 2 2 L149239_MKDUP.bam female
S162516 S162516 2 2 L149240_MKDUP.bam female
S162517 S162517 2 2 L149241_MKDUP.bam female
S162518 S162518 2 2 L149242_MKDUP.bam female
S162519 S162519 2 2 L149243_MKDUP.bam female
S162520 S162520 1 1 L149244_MKDUP.bam male
S162521 S162521 2 2 L149245_MKDUP.bam female
S162522 S162522 2 2 L149246_MKDUP.bam female
S162523 S162523 2 2 L149247_MKDUP.bam female
S162524 S162524 1 1 L149248_MKDUP.bam male
S162525 S162525 1 1 L149249_MKDUP.bam male
S162526 S162526 1 1 L149250_MKDUP.bam male
S162527 S162527 2 2 L149251_MKDUP.bam female
S162528 S162528 2 2 L149252_MKDUP.bam female
S162529 S162529 1 1 L149253_MKDUP.bam male
S162530 S162530 1 1 L149254_MKDUP.bam male
S162531 S162531 2 2 L149255_MKDUP.bam female
S162532 S162532 1 1 L149256_MKDUP.bam male
S162533 S162533 2 2 L149257_MKDUP.bam female
S162534 S162534 1 1 L149258_MKDUP.bam male
S162535 S162535 2 2 L149259_MKDUP.bam female
S162536 S162536 2 2 L149260_MKDUP.bam female
S162537 S162537 1 1 L149261_MKDUP.bam male
S162538 S162538 2 2 L149262_MKDUP.bam female
S162539 S162539 1 1 L149263_MKDUP.bam male
S162540 S162540 2 2 L149264_MKDUP.bam female
S162541 S162541 2 2 L149265_MKDUP.bam female
S162542 S162542 2 2 L149266_MKDUP.bam female
S162543 S162543 1 1 L149267_MKDUP.bam male
S162544 S162544 1 1 L149268_MKDUP.bam male
S162545 S162545 1 1 L149269_MKDUP.bam male
S162546 S162546 1 1 L149270_MKDUP.bam male
S162547 S162547 2 2 L149271_MKDUP.bam female
S162548 S162548 1 1 L149272_MKDUP.bam male
S162549 S162549 1 1 L149273_MKDUP.bam male
S162550 S162550 2 2 L149274_MKDUP.bam female
S162551 S162551 2 2 L149275_MKDUP.bam female
S162552 S162552 1 1 L149276_MKDUP.bam male
S162553 S162553 1 1 L149277_MKDUP.bam male
S162554 S162554 1 1 L149278_MKDUP.bam male
S162555 S162555 2 2 L149279_MKDUP.bam female
S162556 S162556 2 2 L149280_MKDUP.bam female
S162557 S162557 1 1 L149281_MKDUP.bam male
S162558 S162558 1 1 L149282_MKDUP.bam male
S162559 S162559 2 2 L149283_MKDUP.bam female
S162560 S162560 2 2 L149284_MKDUP.bam female
S162561 S162561 1 1 L149285_MKDUP.bam male
S162562 S162562 2 2 L149286_MKDUP.bam female
S162563 S162563 2 2 L149287_MKDUP.bam female
S162564 S162564 1 1 L149288_MKDUP.bam male
S162565 S162565 1 1 L149289_MKDUP.bam male
S162566 S162566 2 2 L149290_MKDUP.bam female
S162567 S162567 2 2 L149291_MKDUP.bam female
S162568 S162568 1 1 L149292_MKDUP.bam male
S162569 S162569 1 1 L149293_MKDUP.bam male
